priority,course,status,category,moodleCourseId,coursePage,bookCount,bookIds,numberedLessonCount,manifestLessons,localBookSectionLessons,missingLessonSections,reason
246,SCH4U,login-required,moodle-book,82,https://www.esunnybrook.com/course/view.php?id=82,5,8738;8780;8820;8860;8891,46,46,0,46,"Moodle Book lessons detected (46), but no local book-section import is present yet."
242,SCH3U,login-required,moodle-book,81,https://www.esunnybrook.com/course/view.php?id=81,5,8602;8630;8649;8678;8705,41,42,0,42,"Moodle Book lessons detected (41), but no local book-section import is present yet."
238,ESLDO,login-required,moodle-book,74,https://www.esunnybrook.com/course/view.php?id=74,4,7755;7777;7800;7822,38,38,0,38,"Moodle Book lessons detected (38), but no local book-section import is present yet."
236,SPH3U,login-required,moodle-book,83,https://www.esunnybrook.com/course/view.php?id=83,5,8931;8951;8971;8992;9013,36,36,0,36,"Moodle Book lessons detected (36), but no local book-section import is present yet."
235,MHF4U,login-required,moodle-book,79,https://www.esunnybrook.com/course/view.php?id=79,4,8336;8362;8393;8415,35,35,0,35,"Moodle Book lessons detected (35), but no local book-section import is present yet."
233,SPH4U,login-required,moodle-book,84,https://www.esunnybrook.com/course/view.php?id=84,5,9041;9070;9096;9126;9150,33,33,0,33,"Moodle Book lessons detected (33), but no local book-section import is present yet."
232,BOH4M,login-required,moodle-book,71,https://www.esunnybrook.com/course/view.php?id=71,5,7380;7403;7427;7447;7481,31,32,0,32,"Moodle Book lessons detected (31), but no local book-section import is present yet."
230,BBB4M,login-required,moodle-book,70,https://www.esunnybrook.com/course/view.php?id=70,4,7244;7265;7289;7314,30,29,0,30,"Moodle Book lessons detected (30), but no local book-section import is present yet."
229,HFA4U,login-required,moodle-book,91,https://www.esunnybrook.com/course/view.php?id=91,1,9805,10,29,0,29,"Moodle Book lessons detected (10), but no local book-section import is present yet."
229,MDM4U,login-required,moodle-book,78,https://www.esunnybrook.com/course/view.php?id=78,5,8198;8222;8241;8262;8282,29,24,0,29,"Moodle Book lessons detected (29), but no local book-section import is present yet."
229,MPM2D,login-required,moodle-book,80,https://www.esunnybrook.com/course/view.php?id=80,4,8474;8497;8520;8545,29,29,0,29,"Moodle Book lessons detected (29), but no local book-section import is present yet."
228,ESLEO,login-required,moodle-book,75,https://www.esunnybrook.com/course/view.php?id=75,4,7891;7914;7938;7960,28,28,0,28,"Moodle Book lessons detected (28), but no local book-section import is present yet."
227,ICS3U,login-required,moodle-book,87,https://www.esunnybrook.com/course/view.php?id=87,4,9393;9420;9446;9466,27,27,0,27,"Moodle Book lessons detected (27), but no local book-section import is present yet."
227,MCR3U,login-required,moodle-book,76,https://www.esunnybrook.com/course/view.php?id=76,4,8016;8043;8064;8085,27,27,0,27,"Moodle Book lessons detected (27), but no local book-section import is present yet."
227,SBI4U,login-required,moodle-book,88,https://www.esunnybrook.com/course/view.php?id=88,5,9506;9527;9549;9566;9589,27,27,0,27,"Moodle Book lessons detected (27), but no local book-section import is present yet."
226,ENG4U,login-required,moodle-book,72,https://www.esunnybrook.com/course/view.php?id=72,4,7536;7561;7583;7603,26,26,0,26,"Moodle Book lessons detected (26), but no local book-section import is present yet."
221,ESLCO,login-required,moodle-book,73,https://www.esunnybrook.com/course/view.php?id=73,4,7653;7671;7688;7702,21,21,0,21,"Moodle Book lessons detected (21), but no local book-section import is present yet."
218,MCV4U,login-required,moodle-book,77,https://www.esunnybrook.com/course/view.php?id=77,3,8111;8141;8165,18,18,0,18,"Moodle Book lessons detected (18), but no local book-section import is present yet."
