course,moodleCourseId,coursePage,outlineStatus,outlineTargetFilename,outlineUrl,bookCount,bookIds,bookChapterLinkCounts,notes
SBI3U,89,https://www.esunnybrook.com/course/view.php?id=89,ready,SBI3U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/10065/mod_assign/introattachment/0/SBI3U-Course-Oultine-v3.0.docx?forcedownload=1,5,9643;9672;9704;9735;9754,9643:65;9672:90;9704:80;9735:35;9754:35,Full current course shell visible.
SCH4U,82,https://www.esunnybrook.com/course/view.php?id=82,ready,SCH4U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8956/mod_assign/introattachment/0/SCH4U-Course-Oultine.docx?forcedownload=1,5,8738;8780;8820;8860;8891,8738:55;8780:50;8820:50;8860:35;8891:40,Full current course shell visible.
SCH3U,81,https://www.esunnybrook.com/course/view.php?id=81,ready,SCH3U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8818/mod_assign/introattachment/0/SCH3U-Course-Outline-v2.0.docx?forcedownload=1,5,8602;8630;8649;8678;8705,8602:45;8630:25;8649:50;8678:45;8705:40,Full current course shell visible.
ESLDO,74,https://www.esunnybrook.com/course/view.php?id=74,ready,ESLDO_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/7957/mod_assign/introattachment/0/ESLDO-Course-Outline-v2.docx?forcedownload=1,4,7755;7777;7800;7822,7755:50;7777:30;7800:55;7822:55,Full current course shell visible.
SPH3U,83,https://www.esunnybrook.com/course/view.php?id=83,ready,SPH3U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/9151/mod_assign/introattachment/0/SPH3U-Course-Outline.docx?forcedownload=1,5,8931;8951;8971;8992;9013,8931:35;8951:35;8971:35;8992:35;9013:40,Full current course shell visible.
MHF4U,79,https://www.esunnybrook.com/course/view.php?id=79,ready,MHF4U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8548/mod_assign/introattachment/0/MHF4U-Course-Outline-v2.1%28revised%29.docx?forcedownload=1,4,8336;8362;8393;8415,8336:45;8362:55;8393:40;8415:35,Full current course shell visible.
SPH4U,84,https://www.esunnybrook.com/course/view.php?id=84,ready,SPH4U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/9263/mod_assign/introattachment/0/SPH4U-Course-Outline.docx?forcedownload=1,5,9041;9070;9096;9126;9150,9041:35;9070:30;9096:35;9126:25;9150:40,Course outline URL was found through the assignment page; no file hint appeared on the course landing page.
BOH4M,71,https://www.esunnybrook.com/course/view.php?id=71,ready,BOH4M_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/7576/mod_assign/introattachment/0/BOH4M-Course-Outline.docx?forcedownload=1,5,7380;7403;7427;7447;7481,7380:35;7403:35;7427:25;7447:45;7481:20,Full current course shell visible.
BBB4M,70,https://www.esunnybrook.com/course/view.php?id=70,ready,BBB4M_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/7438/mod_assign/introattachment/0/BBB4M-Course-Oultine.docx?forcedownload=1,4,7244;7265;7289;7314,7244:35;7265:40;7289:40;7314:35,Full current course shell visible.
HFA4U,91,https://www.esunnybrook.com/course/view.php?id=91,needs-url,HFA4U_Course_Outline.docx,,1,9805,9805:50,"Visible Moodle shell appears incomplete: only Introduction, Course Overview, Unit One, and 3 lessons/assignments. No visible Course Outline attachment."
MPM2D,80,https://www.esunnybrook.com/course/view.php?id=80,ready,MPM2D_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8688/mod_assign/introattachment/0/MPM2D-Course-Outline.docx?forcedownload=1,4,8474;8497;8520;8545,8474:35;8497:35;8520:40;8545:35,Full current course shell visible.
ESLEO,75,https://www.esunnybrook.com/course/view.php?id=75,ready,ESLEO_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8095/mod_assign/introattachment/0/ESLEO-Course-Oultine.docx?forcedownload=1,4,7891;7914;7938;7960,7891:35;7914:40;7938:35;7960:30,Course outline URL was found through the assignment page; no file hint appeared on the course landing page.
SBI4U,88,https://www.esunnybrook.com/course/view.php?id=88,ready,SBI4U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/9927/mod_assign/introattachment/0/SBI4U-Course-Oultine-v3.0.docx?forcedownload=1,5,9506;9527;9549;9566;9589,9506:30;9527:30;9549:20;9566:35;9589:20,Full current course shell visible.
ICS3U,87,https://www.esunnybrook.com/course/view.php?id=87,ready,ICS3U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/9676/mod_assign/introattachment/0/ICS3U-Course-Outline.docx?forcedownload=1,4,9393;9420;9446;9466,9393:35;9420:35;9446:35;9466:30,Full current course shell visible.
MCR3U,76,https://www.esunnybrook.com/course/view.php?id=76,ready,MCR3U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8222/mod_assign/introattachment/0/MCR3U-Course-Outline-2.0.docx?forcedownload=1,4,8016;8043;8064;8085,8016:44;8043:30;8064:30;8085:30,Full current course shell visible.
ENG4U,72,https://www.esunnybrook.com/course/view.php?id=72,ready,ENG4U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/7734/mod_assign/introattachment/0/ENG4U-Course-Oultine-v2.0.docx?forcedownload=1,4,7536;7561;7583;7603,7536:40;7561:31;7583:30;7603:30,Course outline URL was found through the assignment page; no file hint appeared on the course landing page.
CGW4U,,https://www.esunnybrook.com/course/search.php?search=CGW4U,needs-url,CGW4U_Course_Outline.docx,,0,,,Moodle searches plus category scan across categories 1-13 did not show a visible CGW4U course page.
MDM4U,78,https://www.esunnybrook.com/course/view.php?id=78,ready,MDM4U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8408/mod_assign/introattachment/0/MDM4U-Course-Outline-v1.0.docx?forcedownload=1,5,8198;8222;8241;8262;8282,8198:35;8222:25;8241:30;8262:30;8282:25,Course outline URL was found through the assignment page; no file hint appeared on the course landing page.
MCV4U,77,https://www.esunnybrook.com/course/view.php?id=77,ready,MCV4U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/8319/mod_assign/introattachment/0/MCV4U-Course-Outline.docx?forcedownload=1,3,8111;8141;8165,8111:35;8141:25;8165:30,Full current course shell visible.
ENG3U,86,https://www.esunnybrook.com/course/view.php?id=86,ready,ENG3U_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/9475/mod_assign/introattachment/0/ENG3U-Course-Oultine-v2.0.docx?forcedownload=1,5,9244;9267;9292;9317;9340,9244:2;9267:2;9292:2;9317:2;9340:2,"Current ENG3U shell visible; course outline and Moodle Book containers found, but chapter titles are not standard numbered lesson labels in this crawl."
CHC2D,42,https://www.esunnybrook.com/course/view.php?id=42,ready,CHC2D_Course_Outline.docx,https://www.esunnybrook.com/mod/resource/view.php?id=4257,0,,,"Visible Moodle shell found, but no standard Course Outline attachment or Moodle Book container was exposed in this scan. Found Course Outline link during authenticated rescan."
CHV2O,41,https://www.esunnybrook.com/course/view.php?id=41,ready,CHV2O_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/4292/mod_assign/introattachment/0/CHV20-Curriculum-outline.docx?forcedownload=1,0,,,Visible Moodle shell found; Course Outline and Success Criteria attachment exposed as CHV20-Curriculum-outline.docx.
GLC2O,53,https://www.esunnybrook.com/course/view.php?id=53,ready,GLC2O_Course_Outline.docx,https://www.esunnybrook.com/pluginfile.php/5450/mod_assign/introattachment/0/GLC2-Course-Outline-and-Success-Criteria.docx?forcedownload=1,0,,,Visible Moodle shell found; Course Outline and Success Criteria attachment exposed as GLC2-Course-Outline-and-Success-Criteria.docx.
