course,books,numberedLessonCount,bookLessonCounts,notes
SBI3U,5,61,9643:13;9672:18;9704:16;9735:7;9754:7,Standard numbered lesson titles detected.
SCH4U,5,46,8738:11;8780:10;8820:10;8860:7;8891:8,Standard numbered lesson titles detected.
SCH3U,5,41,8602:9;8630:5;8649:10;8678:9;8705:8,Standard numbered lesson titles detected.
ESLDO,4,38,7755:10;7777:6;7800:11;7822:11,Standard numbered lesson titles detected.
SPH3U,5,36,8931:7;8951:7;8971:7;8992:7;9013:8,Standard numbered lesson titles detected.
MHF4U,4,35,8336:9;8362:11;8393:8;8415:7,Standard numbered lesson titles detected.
SPH4U,5,33,9041:7;9070:6;9096:7;9126:5;9150:8,Standard numbered lesson titles detected.
BOH4M,5,31,7380:7;7403:6;7427:5;7447:9;7481:4,Standard numbered lesson titles detected.
BBB4M,4,30,7244:7;7265:8;7289:8;7314:7,Standard numbered lesson titles detected.
HFA4U,1,10,9805:10,Standard numbered lesson titles detected in Moodle Book 9805 during authenticated chapter crawl.
MPM2D,4,29,8474:7;8497:7;8520:8;8545:7,Standard numbered lesson titles detected.
ESLEO,4,28,7891:7;7914:8;7938:7;7960:6,Standard numbered lesson titles detected.
SBI4U,5,27,9506:6;9527:6;9549:4;9566:7;9589:4,Standard numbered lesson titles detected.
ICS3U,4,27,9393:7;9420:7;9446:7;9466:6,Standard numbered lesson titles detected.
MCR3U,4,27,8016:9;8043:6;8064:6;8085:6,Standard numbered lesson titles detected.
ENG4U,4,26,7536:8;7561:6;7583:6;7603:6,Standard numbered lesson titles detected.
MDM4U,5,29,8198:7;8222:5;8241:6;8262:6;8282:5,Standard numbered lesson titles detected.
MCV4U,3,18,8111:7;8141:5;8165:6,Standard numbered lesson titles detected.
ENG3U,5,0,9244:0;9267:0;9292:0;9317:0;9340:0,No standard numbered lesson titles detected; Moodle Books appear as generic Lessons containers with two chapter links each.
SNC2D,4,0,6995:0;7020:0;7045:0;7065:0,No standard numbered lesson titles detected; Moodle Books appear as generic Lessons containers with one chapter link each.
MAP4C,1,0,1456:0,No standard numbered lesson titles detected; Moodle Book is a textbook reference container.
SNC1D,1,0,6351:0,No standard numbered lesson titles detected; Moodle Book is a textbook reference container.
ESLCO,4,21,7653:5;7671:6;7688:5;7702:5,Standard lesson titles detected across four authenticated Moodle Book containers.
